timestamp,IFPID,Outcome,User ID,Screen Name,IP addr,Op Type,Order ID,isBuy,isLong,With MM,By Agent,Matching Order ID,Matching User ID,Matching Screen Name,Order Price,Order Qty,Trade Price,Trade Qty,Low Fuse,Max Bid,Min Ask,High Fuse,Min Qty,Divest Only
2020-04-23 09:51:05,"SP2K3K","a",21086,"xen","86.195.205.163","orderCancel",1361520,false,true,,false,,,,83,30,,,,,,,,
2020-04-23 09:51:16,"SP2K3K","a",21086,"xen","86.195.205.163","orderCreate",1362279,false,true,,false,,,,79,30,,,,,,,,
2020-04-24 03:07:23,"SP2K3K","a",21086,"xen","86.195.205.163","trade",1362279,false,true,,false,1362905,2392,"pauldefts",79,0,79,30,,,,,,
2020-04-24 03:07:23,"SP2K3K","a",2392,"pauldefts","80.214.159.84","trade",1362905,true,true,,false,1362279,21086,"xen",79,0,79,30,,,,,,
2020-04-24 03:07:23,"SP2K3K","a",2392,"pauldefts","80.214.159.84","orderCreate",1362905,true,true,,false,,,,79,30,,,,,,,,
2020-04-24 03:10:15,"SP2K3K","a",70237,"mmesoleil","148.106.154.38","orderCreate",1362907,false,true,,false,,,,80,50,,,,,,,,
2020-04-24 05:43:30,"SP2K3K","b",45320,"guillom","88.125.208.193","orderCreate",1362936,true,true,,false,,,,20,50,,,,,,,,
2020-04-24 07:08:30,"SP2K3K","a",21086,"xen","86.195.205.163","orderCreate",1362971,false,true,,false,,,,79,30,,,,,,,,
2020-04-24 08:59:38,"SP2K3K","a",1352,"fuliang","176.167.128.179","orderCreate",1363021,true,true,,false,,,,74,618,,,,,,,,
2020-04-24 09:13:26,"SP2K3K","b",39619,"proxy","92.105.26.58","orderCreate",1363022,true,true,,false,,,,10,10000,,,,,,,,
2020-04-24 09:13:32,"SP2K3K","b",39619,"proxy","92.105.26.58","orderCancel",1363022,true,true,,false,,,,10,10000,,,,,,,,
2020-04-24 09:55:22,"SP2K3K","b",586,"nobeit","173.176.18.140","orderCreate",1363029,false,true,,false,,,,90,50,,,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",1352,"fuliang","176.167.128.179","orderCreate",1363158,true,true,,false,,,,81,1160,,,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",2,"synt","5.49.164.229","trade",1363161,false,true,,false,1363158,1352,"fuliang",81,0,81,1000,,,,,,
2020-04-24 15:39:48,"SP2K3K","a",1352,"fuliang","176.167.128.179","trade",1363158,true,true,,false,1363161,2,"synt",81,0,81,1000,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",2,"synt","5.49.164.229","trade",1363162,false,true,,false,1362190,39619,"proxy",19,0,19,1000,,,,,,
2020-04-24 15:39:48,"SP2K3K","b",39619,"proxy","92.105.26.58","trade",1362190,true,true,,false,1363162,2,"synt",19,0,19,1000,,,,,,
